Runner,Time,Date
Michael McFadden,2.889,2004-08-04
tingly,2.832,2005-08-30
Xelna,2.813,2006-07-28
Xelna,2.812,2006-09-XX
Xelna,2.809,2007-10-25
Xelna,2.799,2007-10-25
Xelna,2.792,2008-12-30
hPerks,2.789,2010-01-12
Kalle29,2.777,2014-09-24
Nature Freak,2.754,2015-07-17
Nature Freak,2.750,2015-09-02
Nature Freak,2.746,2015-11-03
DKman00,2.745,2019-03-29
DKman00,2.744,2019-04-01
Nature Freak,2.743,2019-04-02
Xelna,2.740,2020-05-24
Xelna,2.735,2020-05-24
Xelna,2.731,2021-09-07
Xelna,2.729,2021-09-07
Xelna,2.725,2021-09-08
Xelna,2.721,2021-09-08
Xelna,2.717,2021-09-12
Xelna,2.716,2021-09-12
